DDC-22-1B (Y2025-M06-D01),,,,,,,,,,,,,,,,,,,,,,,,,,
Class,Label Name,Data Type,Constant,Initial Value,Assign (Device/Label),Address,Comment,Comment 2,Comment 3,Comment 4,Comment 5,Japanese/???,English,Chinese Simplified/????,Korean/???,Chinese Traditional/????,German/Deutsch,Italian/Italiano,Reserved1,Reserved2,Reserved3,Reserved4,Remark,System Label Relation,System Label Name,Attribute
Yes,FB_SlaveHealth,BOOL,,,,,,,,,,,Feedback: Slave Health,,,,,,,,,,,,,
,FB_SlaveID,INT,,,,,,,,,,,Feedback: Slave ID,,,,,,,,,,,,,
Yes,FB_Voltage,REAL,,,,,,,,,,,Feedback: Voltage,,,,,,,,,,,,,
Yes,FB_Current,REAL,,,,,,,,,,,Feedback: Current,,,,,,,,,,,,,
Yes,FB_Power_Factor,REAL,,,,,,,,,,,Feedback: Power Factor,,,,,,,,,,,,,
Yes,FB_Frequency,REAL,,,,,,,,,,,Feedback: Frequency ,,,,,,,,,,,,,
Yes,FB_Active_Power,REAL,,,,,,,,,,,Feedback: Active Power,,,,,,,,,,,,,
Yes,FB_Energy_Consumption,REAL,,,,,,,,,,,Feedback: Energy Consumption,,,,,,,,,,,,,
,Ctrl_Slave_Enabled,INT,,,,,,,,,,,Control: Slave Enabled,,,,,,,,,,,,,
